Development Stage,Material Classification,Sample Submission Date,Material Code,Active Mfg Count,Company,Material Name,Manufacturer Name,Origin,Indentor Name,Development Rates,Com Mfg Name,Net Price in USD,Per Lot Qty,UOM,Annual Qty,Existing source Total annual value,Under Dev source Total annual value,Net Saving/Loss,%Age Saving/Loss,Saving/Loss,Best Net Saving/Loss,Existing source Total annual value (10% Qty),Under Dev source Total annual value (10% Qty),Net Saving/Loss (10% Qty),%Age Saving/Loss (10% Qty),Saving/Loss (10% Qty),Annual Net Saving
INITIAL TESTING,SINGLE SOURCE,24/08/2026,111000091,1,LAB,FOLIC ACID USP,Zhejiang Shengda Bio-Pharm,China,Druglink,$0.,"HEBEI JIHENG (GROUP) PHARMACEUTICAL CO., LTD",$200.00,1,KG,1,200,0,$200,100,Saving,$200,200,0,200,100,Saving,$200
INITIAL TESTING,PROJECT,24/08/2026,111000240,1,LAB,NYSTATIN BP,"Fujian Fukang Pharmaceutical Co., Ltd",China,Morgan,$200.,ANTIBIOTICE S.A.,$247.60,360,KG,1080,267408,216000,"$51,408",19,Saving,"$51,408",267408,216000,51408,19,Saving,"$51,408"
INITIAL TESTING,SINGLE SOURCE,03/08/2026,111000314,1,LAB,DEXAMETHASONE (MICRONIZED) BP,Zhejiang Xianju,China,Neon,$800.,TIANJIN TIANYAO PHARMACEUTICALS (TIANJIN TAINFA PHARMACEUTICALS IMP. & EXP. CORP,$850.00,2,KG,2,1700,1600,$100,6,Saving,$100,1700,1600,100,6,Saving,$100
INITIAL TESTING,PROJECT,24/08/2026,111000297,1,LAB,BACITRACIN BP,NCPC,China,SBR,$400.,XELLIA PHARMACEUTICALS L,$500.00,100,KG,390,195000,156000,"$39,000",20,Saving,"$39,000",195000,156000,39000,20,Saving,"$39,000"
INITIAL TESTING,PELLET / INDIAN,24/08/2026,111000321,1,LAB,Duloxetine Hydrochloride 20%,Sami,Pakistan,Sami,$87.719298245614,TITAN LABORATORIES PVT. LTD.,$100.50,,KG,900,90450,78947.36842,"$11,503",13,Saving,,90450,78947.36842,11502.63158,13,Saving,
INITIAL TESTING,PELLET / INDIAN,24/08/2026,111000326,1,LAB,ESOMEPRAZOLE ENTERIC COATED PELLETS 22.5,Sami,Pakistan,Sami,$31.5789473684211,ALPHAMED FORMULATION (PVT) LTD.,$38.00,400,KG,700,26600,22105.26316,"$4,495",17,Saving,"$4,495",26600,22105.26316,4494.736842,17,Saving,"$4,495"
INITIAL TESTING,PELLET / INDIAN,24/08/2026,111000321,1,LAB,Duloxetine Hydrochloride 20%,Biopol Pharma,China,Spirit,$190.,TITAN LABORATORIES PVT. LTD.,$100.50,,KG,900,90450,171000,"($80,550)",-89,Loss,,9045,17100,-8055,-89,Loss,
AT STABILITY,ASCARD,19/12/2025,111000053,1,LAB,PURIFIED TALC BP,B. B. Minerals,Pakistan,B. B. Minerals,$1.4,NITIKA PHARMACEUTICAL SPECIALITIES PVT. LTD.,$2.60,1500,KG,3300,8580,4620,"$3,960",46,Saving,"$3,960",8580,4620,3960,46,Saving,"$3,960"
AT STABILITY,SINGLE SOURCE,14/11/2024,111000411,1,LAB,CARBOMER 971P,Emrays,UAE,COSMOCHEM,$45.,LUBRIZOL,$46.94,528,KG,1056,49568.64,47520,"$2,049",4,Saving,"$2,049",49568.64,47520,2048.64,4,Saving,"$2,049"
AT STABILITY,ASCARD,19/09/2025,111000086,1,LAB,"SHEFCOAT ENT PINK
Seal COAT
SHEFFCOAT CLEAR 5Y01771 ( Seal Coat)",KERRY,USA,Dawn Impex,$87.,"NEELIKON FOOD DYES & CHEMICAL, INDIA",$78.62,75,KG,275,21621.26933,23925,"($2,304)",-11,Loss,,21621.26933,23925,-2303.730672,-11,Loss,
AT STABILITY,MERCK/SIGMA/CRODA/FISHER,14/11/2024,111000067,1,LAB,CETOMACROGOL 1000 BP 98,Unitop Chemicals Pvt. Ltd.,India,Dawn Impex,$6.5,"CRODA CHEMICALS, SINGAPORE.",$10.79,2000,KG,14040,151456.3107,91260,"$60,196",40,Saving,"$60,196",151456.3107,91260,60196.31068,40,Saving,"$60,196"
AT STABILITY,SINGLE SOURCE,14/01/2026,121000030,1,LAB,ALU ALU Base Foil (Printed) 211 mm ±1mm,SHANGHAI ZIJIANG COLOR,China,Gudia Pvt Ltd,$4.95,NANTONG HUIDESENG PACKAGING MATERIAL CO. LTD.,$5.20,10000,KG,47730,248196,236263.5,"$11,933",5,Saving,"$11,933",248196,236263.5,11932.5,5,Saving,"$11,933"
AT STABILITY,SINGLE SOURCE,31/12/2024,111000002,1,LAB,MICROCRYSTALLINE CELLULOSE (PH 101) BP,SHANDONG GUANGD,China,IRIS,$2.6,RETTENMAIER NATURAL FIBE,$3.05,400,KG,400,1220,1040,$180,15,Saving,,1220,1040,180,15,Saving,
AT STABILITY,PELLET / INDIAN,12/09/2025,111000326,1,LAB,ESOMEPRAZOLE ENTERIC COATED PELLETS 22.5,Shouguang Fukang,China,IRIS,$45.,ALPHAMED FORMULATION (PVT) LTD.,$38.00,400,KG,700,26600,31500,"($4,900)",-18,Loss,,26600,31500,-4900,-18,Loss,
AT STABILITY,NON INDIAN,16/09/2025,111000288,1,LAB,TICAGRELOR,Salubris Pharmaceuticals,China,IRIS,$330.,KOPRAN RESEARCH LABORATO,$255.00,100,KG,205,52275,67650,"($15,375)",-29,Loss,,5227.5,6765,-1537.5,-29,Loss,"($1,538)"
AT STABILITY,CORE INDIAN,07/11/2025,111000268,1,LAB,SALBUTAMOL SULPHATE BP,lusochimica S.p.A.,Italy,Morgan,$877.,SUPRIYA LIFESCIENCE LTD.,$140.00,25,KG,125,17500,109625,"($92,125)",-526,Loss,"($92,125)",1750,10962.5,-9212.5,-526,Loss,"($9,213)"
AT STABILITY,CORE INDIAN,13/01/2026,111000317,1,LAB,DOMPERIDONE(BASE) BP,Tagoor,India,Morgan,$75.,VASUDHA PHARMACHEM LTD.,$48.50,75,KG,225,10912.5,16875,"($5,963)",-55,Loss,"($5,963)",10912.5,16875,-5962.5,-55,Loss,"($5,963)"
AT STABILITY,NON INDIAN,22/09/2025,111000288,1,LAB,TICAGRELOR,NANTONG CHANYOO,China,Neon,$300.,KOPRAN RESEARCH LABORATO,$255.00,100,KG,205,52275,61500,"($9,225)",-18,Loss,"($9,225)",52275,61500,-9225,-18,Loss,
AT STABILITY,CORE INDIAN,26/12/2025,111000348,1,LAB,FLUCONAZOLE(MICRONIZED) USP,HEMA,India,Neon,$95.,SYNERGENE ACTIVE INGREDIENTS PVT LTD,$68.00,25,KG,100,6800,9500,"($2,700)",-40,Loss,"($2,700)",6800,9500,-2700,-40,Loss,"($2,700)"
AT STABILITY,CORE INDIAN,07/05/2025,111000441,1,LAB,LULICONAZOLE MS,"Viwit Pharmaceuticals\n(Non-Indian)",China,Nimbus,"$1,450.",OPTIMUS DRUGS PRIVATE LIMITED,$375.00,100,KG,375,140625,543750,"($403,125)",-287,Loss,"($403,125)",14062.5,54375,-40312.5,-287,Loss,"($40,313)"
AT STABILITY,ASCARD,19/09/2025,111000086,1,LAB,Opadry Clear 03K19229,COLORCON,USA,Paradise,$77.67,"NEELIKON FOOD DYES & CHEMICAL, INDIA",$78.62,75,KG,275,21621.26933,21359.25,$262,1,Saving,,21621.26933,21359.25,262.0193276,1,Saving,
AT STABILITY,CORE INDIAN,25/08/2025,111000078,1,LAB,CHLORHEXIDINE GLUCONATE SOLUTION USP,SHAANXI DASHENG PHARMA,China,SBR,$4.2,BAJAJ HEALTHCARE LTD,$6.75,1400,KG,1400,9450,5880,"$3,570",38,Saving,"$3,570",9450,5880,3570,38,Saving,"$3,570"
AT STABILITY,PELLET / INDIAN,09/07/2025,111000321,1,LAB,DULOXETINE HYDROCHLORIDE EC PELLETS 14.8,Biopole,China,SPIRIT CHEMICALS,$190.,TITAN LABORATORIES PVT. LTD.,$100.50,,KG,900,90450,171000,"($80,550)",-89,Loss,,9045,17100,-8055,-89,Loss,
AT STABILITY,PELLET / INDIAN,14/07/2025,111000326,1,LAB,ESOMEPRAZOLE ENTERIC COATED PELLETS 22.5,Saakh Pharma,Pakistan,Saakh,$31.58,ALPHAMED FORMULATION (PVT) LTD.,$38.00,400,KG,700,26600,22106,"$4,494",17,Saving,,26600,22106,4494,17,Saving,
AT STABILITY,PELLET / INDIAN,22/10/2025,111000326,1,LAB,ESOMEPRAZOLE ENTERIC COATED PELLETS 22.5,Surge Lab,Pakistan,Surge Lab,$34.,ALPHAMED FORMULATION (PVT) LTD.,$38.00,400,KG,700,26600,23800,"$2,800",11,Saving,,26600,23800,2800,11,Saving,
AT STABILITY,PELLET / INDIAN,22/10/2025,111000321,1,LAB,Duloxetine pellets 17.65% (with HCL 20%),Surge Lab,Pakistan,Surge Lab,$78.95,TITAN LABORATORIES PVT. LTD.,$100.50,,KG,900,90450,71055,"$19,395",21,Saving,"$19,395",90450,71055,19395,21,Saving,"$19,395"
AT PD PRIORITY,SINGLE SOURCE,29/05/2024,111000100,1,LAB,ISOPROPYL MYRISTATE BP,KLK-Oleo,Malaysia,COSMOCHEM,$6.63,SURIACHEM SDN BHD,$5.75,,KG,11475,66019.41748,76079.25,"($10,060)",-15,Loss,"($10,060)",6601.941748,7607.925,-1005.983252,-15,Loss,"($1,006)"
AT PD PRIORITY,SINGLE SOURCE,04/09/2024,111000175,1,LAB,CROSPOVIDONE BP,"Hangshan Bonsun Pharmaceutical Co., Ltd.",China,IRIS,$19.,Ashland Specialty Ingredients USA,$25.62,250,KG,1000,25620,19000,"$6,620",26,Saving,"$6,620",25620,19000,6620,26,Saving,"$6,620"
AT PD PRIORITY,ASCARD,02/12/2024,111000110,1,LAB,STEARIC ACID (MICRONIZED) USP/NF,Edenor Technology,Germany,COSMOCHEM,$9.,INTERMED SDN BHD. MALAYSIA.,$4.36,3000,KG,11000,47960,99000,"($51,040)",-106,Loss,"($51,040)",4796,9900,-5104,-106,Loss,"($5,104)"
AT PD PRIORITY,PROJECT,21/03/2025,111000240,1,LAB,NYSTATIN BP,Concord biotech,India,Rasheed sons,$235.,ANTIBIOTICE S.A.,$247.60,360,KG,1080,267408,253800,"$13,608",5,Saving,,267408,253800,13608,5,Saving,
AT PD PRIORITY,SINGLE SOURCE,21/04/2025,111000104,1,LAB,METHYLPARABEN USP/NF,Zhejiang Shengxiao Chamicals Co. Ltd.,China,Rasheed sons,$6.5,UENOFINE CHEM JAPAN,$7.55,400,KG,1600,12081.9849,10400,"$1,682",14,Saving,"$1,682",12081.9849,10400,1681.984898,14,Saving,"$1,682"
AT PD PRIORITY,SINGLE SOURCE,21/04/2025,111000027,1,LAB,PROPYLPARABEN USP/NF,Zheijinang Shengxiao Chamicals Co. Ltd.,China,Rasheed sons,$8.,UENOFINE CHEM JAPAN,$8.22,100,KG,500,4108.234448,4000,$108,3,Saving,$108,4108.234448,4000,108.234448,3,Saving,$108
AT PD PRIORITY,MERCK/SIGMA/CRODA/FISHER,01/08/2025,111000081,1,LAB,DISODIUM EDETATE BP,Kirsch Pharma,Germany,ITTEHAD,$58.87,"SIGMA ALDRICH, GERMANY",$26.41,100,KG,500,13205.68141,29435,"($16,229)",-123,Loss,,1320.568141,2943.5,-1622.931859,-123,Loss,"($1,623)"
AT PD PRIORITY,NON INDIAN,06/08/2025,111000288,1,LAB,TICAGRELOR,Pharma Resource,China,Pentalam Chemicals,$350.,KOPRAN RESEARCH LABORATO,$255.00,100,KG,205,52275,71750,"($19,475)",-37,Loss,,5227.5,7175,-1947.5,-37,Loss,
AT PD PRIORITY,NON INDIAN,02/09/2025,111000203,1,LAB,AMLODIPINE BESILATE USP,Zheijang Huahai pharmaceuticals,China,Pentalam Chemicals,$60.,AMSAL CHEM PRIVATE LIMITED.,$45.00,140,KG,365,16425,21900,"($5,475)",-33,Loss,"($5,475)",16425,21900,-5475,-33,Loss,"($5,475)"
AT PD PRIORITY,NON INDIAN,03/10/2025,111000288,1,LAB,TICAGRELOR,JIANGXI SYNERGY,China,IRIS,$380.,KOPRAN RESEARCH LABORATO,$255.00,100,KG,205,52275,77900,"($25,625)",-49,Loss,,5227.5,7790,-2562.5,-49,Loss,
AT PD PRIORITY,MERCK/SIGMA/CRODA/FISHER,08/10/2025,111000061,1,LAB,BUTYLATED HYDROXYTOLUENE BP,Jiangxi Alpha Hi Tech,China,ADCHEM,$100.,MERCK GERMANY.,$84.57,20,KG,238.5,20170.87379,23850,"($3,679)",-18,Loss,"($3,679)",20170.87379,23850,-3679.126214,-18,Loss,"($3,679)"
AT PD PRIORITY,CORE INDIAN,23/10/2025,111000320,1,LAB,DIACERIN BP,Reine Lifescience,India,SBS,$300.,CHORUS LABS LIMITED,$275.00,100,KG,100,27500,30000,"($2,500)",-9,Loss,,27500,30000,-2500,-9,Loss,
AT PD PRIORITY,CORE INDIAN,10/11/2025,111000320,1,LAB,DIACERIN BP,AMI,India,Morgan,$300.,CHORUS LABS LIMITED,$275.00,100,KG,100,27500,30000,"($2,500)",-9,Loss,"($2,500)",27500,30000,-2500,-9,Loss,"($2,500)"
AT PD PRIORITY,MERCK/SIGMA/CRODA/FISHER,12/11/2025,111000145,1,LAB,SODIUM BICARBONATE BP/USP,TATA,Europe,Rasheed sons,$65.9,"MERCK, GERMANY",$5.75,25,KG,125,719.1657677,8237.5,"($7,518)",-1045,Loss,,719.1657677,8237.5,-7518.334232,-1045,Loss,
AT PD PRIORITY,ASCARD,24/11/2025,111000086,1,LAB,Coatdry CPCC 850 Pink,ALLIED axiom chemical,Pakistan,ALLIED axiom chemical,$87.,"NEELIKON FOOD DYES & CHEMICAL, INDIA",$78.62,75,KG,275,21621.26933,23925,"($2,304)",-11,Loss,,21621.26933,23925,-2303.730672,-11,Loss,
AT PD PRIORITY,MERCK/SIGMA/CRODA/FISHER,25/11/2025,111000158,1,LAB,SODIUM DIHYDROGEN PHOSPHATE DIHYDRATE BP,HUNAN JIUDIAN HONGYANG,China,Morgan,$16.81,"MERCK, GERMANY",$13.29,100,KG,675,8970.873786,11346.75,"($2,376)",-26,Loss,"($2,376)",8970.873786,11346.75,-2375.876214,-26,Loss,"($2,376)"
AT PD PRIORITY,MERCK/SIGMA/CRODA/FISHER,10/12/2025,111000081,1,LAB,DISODIUM EDETATE BP,DR. PAUL LOHMANN,Germany,Rasheed sons,$37.5,"SIGMA ALDRICH, GERMANY",$26.41,100,KG,500,13205.68141,18750,"($5,544)",-42,Loss,"($5,544)",13205.68141,18750,-5544.31859,-42,Loss,
AT PD PRIORITY,MERCK/SIGMA/CRODA/FISHER,01/01/2026,114000082,1,AHL,BUTYLATED HYDROXYTOLUENE BP,Jiangxi Alpha Hi Tech,China,-,$100.,MERCK GERMANY.,$80.55,10,KG,10,805.4656598,1000,($195),-24,Loss,($195),805.4656598,1000,-194.5343402,-24,Loss,($195)
AT PD PRIORITY,MERCK/SIGMA/CRODA/FISHER,01/01/2026,114000092,1,AHL,DISODIUM EDETATE BP,Kirsch Pharma,Germany,-,$37.5,"SIGMA ALDRICH, GERMANY",$26.41,25,KG,25,660.2840705,937.5,($277),-42,Loss,($277),660.2840705,937.5,-277.2159295,-42,Loss,($277)
AT PD PRIORITY,MERCK/SIGMA/CRODA/FISHER,01/01/2026,114000092,1,AHL,DISODIUM EDETATE BP,DR. PAUL LOHMANN,Germany,-,$58.87,"SIGMA ALDRICH, GERMANY",$26.41,25,KG,25,660.2840705,1471.75,($811),-123,Loss,,660.2840705,1471.75,-811.4659295,-123,Loss,
AT PD PRIORITY,SINGLE SOURCE,01/01/2026,114000105,1,AHL,ISOPROPYL ALCOHOL BP,ICV Global Trade Fze,UAE,-,$1.59,LCY CHEMICAL (LEE CHANG YUNG TAIWAN),$1.51,640,KG,1280,1933.117584,2035.2,($102),-5,Loss,($102),1933.117584,2035.2,-102.0824164,-5,Loss,($102)
AT PD PRIORITY,SINGLE SOURCE,01/01/2026,114000105,1,AHL,ISOPROPYL ALCOHOL BP,LG CHEMICALS,Korea,-,$2.05,LCY CHEMICAL (LEE CHANG YUNG TAIWAN),$1.51,640,KG,1280,1933.117584,2624,($691),-36,Loss,,1933.117584,2624,-690.8824164,-36,Loss,
AT PD PRIORITY,SINGLE SOURCE,01/01/2026,114000040,1,AHL,MAGNESIUM STEARATE BP,Anhui Sunhere Pharma,China,-,$2.59,"PETER GREVEN, MALAYSIA",$5.93,20,KG,20,118.6623517,51.8,$67,56,Saving,$67,118.6623517,51.8,66.86235167,56,Saving,$67
AT PD PRIORITY,SINGLE SOURCE,01/01/2026,114000040,1,AHL,MAGNESIUM STEARATE BP,"HUZHOU CITY LINGHU XINWANG CHEMICAL CO., LTD",China,-,$3.09,"PETER GREVEN, MALAYSIA",$5.93,20,KG,20,118.6623517,61.8,$57,48,Saving,,118.6623517,61.8,56.86235167,48,Saving,
