Development Stage,Material Classification,Sample Submission Date,Material Code,Active Mfg Count,Company,Material Name,Manufacturer Name,Origin,Indentor Name,Development Rates,Com Mfg Name,Net Price in USD,Per Lot Qty,UOM,Annual Qty,Existing source Total annual value,Under Dev source Total annual value,Net Saving/Loss,%Age Saving/Loss,Saving/Loss,Best Net Saving/Loss,Existing source Total annual value (10% Qty),Under Dev source Total annual value (10% Qty),Net Saving/Loss (10% Qty),%Age Saving/Loss (10% Qty),Saving/Loss (10% Qty),Annual Net Saving
AT PD PRIORITY,MULTI SOURCE,01/01/2026,114000051,4,AHL,WHITE SOFT PARAFFIN BP,TEXOL,UAE,-,$1.46,ROSE POLYMER IRAN.,$2.16,10150,KG,20300,43797.19525,29638,"$14,159",32,Saving,"$14,159",43797.19525,29638,14159.19525,32,Saving,"$14,159"
AT PD PRIORITY,MULTI SOURCE,01/01/2026,114000051,4,AHL,WHITE SOFT PARAFFIN BP,APAR Industries Limited,India,-,$2.69,ROSE POLYMER IRAN.,$2.16,10150,KG,20300,43797.19525,54607,"($10,810)",-25,Loss,,4379.719525,5460.7,-1080.980475,-25,Loss,
AT PD PRIORITY,MULTI SOURCE,19/01/2026,111000011,2,LAB,MAGNESIUM STEARATE BP,"HUZHOU CITY LINGHU XINWANG CHEMICAL CO., LTD",China,Premium Chemical,$3.09,"PETER GREVEN, MALAYSIA",$6.83,500,KG,2520,17216.82848,7786.8,"$9,430",55,Saving,"$9,430",17216.82848,7786.8,9430.028479,55,Saving,"$9,430"
AT PD PRIORITY,PROJECT,21/01/2026,111000232,2,LAB,METOPROLOL TARTRATE USP,"WANYANG HENGSHUI PHARMACEUTICALS CO., LTD",China,Mansoor chem,$28.5,IPCA LABORATOREIS LTD,$29.50,500,KG,7100,209450,202350,"$7,100",3,Saving,"$7,100",209450,202350,7100,3,Saving,"$7,100"
AT PD PRIORITY,MULTI SOURCE,02/02/2026,111000042,2,LAB,LIQUID SORBITOL (NON-CRYSTALLISING) BP,"M/s. Zhaoqing Huanfa Biotechnology Co., Ltd.",China,Dawn Impex,$0.525,Habib Rice Products Ltd.,$0.81,8250,KG,58275,47148.05825,30594.375,"$16,554",35,Saving,"$16,554",47148.05825,30594.375,16553.68325,35,Saving,"$16,554"
AT PD PRIORITY,MERCK/SIGMA/CRODA/FISHER,17/02/2026,111000155,2,LAB,SULFUR BP (NATURAL),Kirsch Pharma,Germany,ITTEHAD,$6.63,MERCK GERMANY,$17.26,500,KG,3750,64724.91909,24862.5,"$39,862",62,Saving,"$39,862",64724.91909,24862.5,39862.41909,62,Saving,"$39,862"
AT PD PRIORITY,ASCARD,23/02/2026,111000054,2,LAB,TITANIUM DIOXIDE BP,KRONOS,Korea,Elite,$29.82,KRONOS INTERNATIONAL,$19.78,500,KG,900,17799.35275,26838,"($9,039)",-51,Loss,,17799.35275,26838,-9038.647249,-51,Loss,
AT PD PRIORITY,ASCARD,14/04/2026,111000004,2,LAB,CROSCARMELLOSE SODIUM BP,"Mingtai Chemical Co., Ltd.",Taiwan,Pentalam Chemicals,$8.85,JRS PHARMA & GUJARAT MICROWAX,$9.90,,KG,6000,59400,53100,"$6,300",11,Saving,"$6,300",59400,53100,6300,11,Saving,"$6,300"
AT PD PRIORITY,MULTI SOURCE,14/04/2026,111000003,2,LAB,MICROCRYSTALLINE CELLULOSE (PH 102) BP,"Mingtai Chemical Co., Ltd.",Taiwan,Pentalam Chemicals,$2.55,JRS PHARMA,$2.80,8000,KG,24000,67200,61200,"$6,000",9,Saving,"$6,000",67200,61200,6000,9,Saving,"$6,000"
AT PD PRIORITY,ASCARD,14/04/2026,111000215,4,LAB,MICROCRYSTALLINE CELLULOSE (PH 112) BP,IFF/Roquette,France,Morgan,$3.55,JRS PHARMA-Rettenmaier natural fiber (Changzhou),$3.70,9000,KG,51000,188700,181050,"$7,650",4,Saving,,188700,181050,7650,4,Saving,
