Material Classification,Company,Material Code,Year,Purch.Doc.,Material Name,PO Quantity,Supplier Name,Net Price,Plant,Material Group,Purchasing Group,UOM,Currency,Manufacturer Name,Origin,Indentor Name Auto,Latest Supplier (ME2L Other),Latest Supplier Net Price (USD),PO Qty (This Entry),Sum of Total Value-New AVL Added Source Buy,Sum of Total Value-Existing Source Buy,Annual Net Saving in USD
MULTI SOURCE,LAB,111000319,Nov-25,3200001884,DEXAMETHASONE SODIUM PHOSPHATE USP,1000, CHIFENG EYERIS COMPANY L,0.85,1100,RMIMAT,D16,G,USD,XIAN GUOKANG RUIJIN PHARMACEUTICAL CO. LTD,CHINA,IRIS INTERNATIONAL,TIANJIN TIANYAO PHARMACEUTICALS (TIANJIN TAINFA PHARMACEUTICALS IMP. & EXP. CORP,0.85,1000,$850.00 ,$850.00 ,$0 
Single Origin,LAB,111000319,Sep-25,3200001747,DEXAMETHASONE SODIUM PHOSPHATE USP,1000, CHIFENG EYERIS COMPANY L,0.85,1100,RMIMAT,D16,G,USD,XIAN GUOKANG RUIJIN PHARMACEUTICAL CO. LTD,CHINA,IRIS INTERNATIONAL,TIANJIN TIANYAO PHARMACEUTICALS (TIANJIN TAINFA PHARMACEUTICALS IMP. & EXP. CORP,0.85,1000,$850.00 ,$850.00 ,$0 
MULTI SOURCE,LAB,111000124,Jul-26,3100002588,LANOLIN ANHYDROUS USP/NF,600, A.M.YOUSUF & CO.,8000,1100,RMLMAT,R01,KG,PKR,Croda Europe (Rawcliffe Bridge),SINGAPORE,A.M.YOUSUF & CO.,Croda Brazil,28.76663071,600,"$17,259.98 ","$17,259.98 ",$0 
PROJECT,LAB,111000347,Jan-26,3200001982,FLUCONAZOLE USP,100, HEMA PHARMACEUTICALS PVT,64,1100,RMIMAT,D16,KG,USD,Hema Pharmaceuticals Private Limited,INDIA,NEON,RAJ PIONEER LABORATORIES (INDIA) PVT. LTD.,64.5,100,"$6,400.00 ","$6,450.00 ",$50 
MULTI SOURCE,LAB,111000111,Jan-26,3200001979,SUCRALOSE,100, Techno (Fujian) Food Ing,13.4,1100,RMIMAT,D16,KG,USD,Techno (Fujian) Food Ingredients,CHINA,MRI,SHANDONG KANBO BIOCHEMICAL TECHNOLOGY CO LTD,14.3,100,"$1,340.00 ","$1,430.00 ",$90 
NON INDIAN,LAB,111000208,Nov-25,3200001885,ROSUVASTATIN CALCIUM BP,10, CTX LIFE SCIENCES PVT LT,160,1100,RMIMAT,D16,KG,USD,CTX Lifescience PVT LTD,INDIA,NEON,"Shaoxing Jingxin Pharmaceutical Co., Ltd.",170,10,"$1,600.00 ","$1,700.00 ",$100 
PROJECT,LAB,114000045,Dec-25,3100002310,NICOTINAMIDE BP,25, SABCON CHEMICALS,1800,3100,RMLMAT,D16,KG,PKR,"TIANJIN ZHONGRUI PHARMACUTICAL CO, LTD",CHINA,SABCON CHEMICALS,AARTI DRUGS INDIA.,11.22941388,25,$161.81 ,$280.74 ,$119 
NON INDIAN,LAB,114000045,Nov-25,3100002236,NICOTINAMIDE BP,25, SABCON CHEMICALS,1800,3100,RMLMAT,D16,KG,PKR,"TIANJIN ZHONGRUI PHARMACUTICAL CO, LTD",CHINA,SABCON CHEMICALS,AARTI DRUGS INDIA.,11.22941388,25,$161.81 ,$280.74 ,$119 
NON INDIAN,LAB,114000028,Jun-26,3100002534,LEMON FLAVOR SC736612,5, ALLIED AXIOM CHEMICAL (P,3500,3100,RMIMAT,R01,KG,PKR,ALLIED AXION CHEMICAL (PVT) LTD,PAKISTAN,ALLIED AXIOM,INTERNATIONAL FLAVOURS & FRAGRANCES,39.44,5,$62.93 ,$197.20 ,$134 
PROJECT,LAB,111000413,Jan-26,3200002008,DIFLUCORTOLONE VALERATE (MICRONIZED) BP,0.5, Unimax Laboratories Ltd.,8200,1100,RMIMAT,D16,KG,USD,Unimax Laboratories Pvt. Ltd.,INDIA,ARFEEN,Tianjin Tianyao Pharmaceutical Co. Ltd,8500,0.5,"$4,100.00 ","$4,250.00 ",$150 
NON INDIAN,LAB,111000306,Aug-26,3200002266,CLINDAMYCIN PHOSPHATE USP,100, HANGZHOU TAYWELL INTERNA,106,1100,RMIMAT,R02,KG,USD,"ZHEJIANG TIANTAI PHARMACEUTICAL. CO., LTD.",CHINA,NEON,JIANGXI MEDICINES AND HEALTH PRODUCTS I/E CO. LTD,108,100,"$10,600.00 ","$10,800.00 ",$200 
PROJECT,LAB,111000428,Mar-26,3200002068,VONOPRAZAN FUMARATE,5, SHANDONG CHENGHUISHUANGD,210,1100,RMIMAT,D16,KG,USD,"Shandong Chenghui Shuangda Pharmaceutical Co., Ltd",CHINA,BIOFAR CHEM,Jiangxi Synergy Pharmaceutical Co ltd,265,5,"$1,050.00 ","$1,325.00 ",$275 
Single Origin,LAB,111000208,Aug-26,3200002254,ROSUVASTATIN CALCIUM BP,25, CTX LIFE SCIENCES PVT LT,155,1100,RMIMAT,R02,KG,USD,CTX Lifescience PVT LTD,INDIA,DAWN IMPEX,"Shaoxing Jingxin Pharmaceutical Co., Ltd.",170,25,"$3,875.00 ","$4,250.00 ",$375 
CORE INDIAN,LAB,111000083,Sep-25,3200001771,DIMETHICONE 350,5, SAMEER HOLDING FZE,25,1100,RMIMAT,D16,KG,USD,"NITIKA PHARMACEUTICAL SPECIALITIES PVT. LTD., NAGPUR",INDIA,DAWN IMPEX,RIO CARE INDIA PVT.LTD.,160,5,$125.00 ,$800.00 ,$675 
CORE INDIAN,LAB,111000438,Apr-26,3200002113,IVERMECTIN (MICRONIZED),5," BIOPOLE PHARMATECH CO.,",1750,1100,RMIMAT,D16,KG,USD,"ZHEJIANG HISUN PHARMACEUTICAL CO., LTD.",CHINA,SPIRIT,Om Laboratories,2175,5,"$8,750.00 ","$10,875.00 ","$2,125 "
Single Origin,LAB,111000083,Dec-25,3200001944,DIMETHICONE 350,25, NITIKA PHARMACEUTICAL SP,30,1100,RMIMAT,D16,KG,USD,"NITIKA PHARMACEUTICAL SPECIALITIES PVT. LTD., NAGPUR",INDIA,DAWN IMPEX,RIO CARE INDIA PVT.LTD.,160,25,$750.00 ,"$4,000.00 ","$3,250 "
NON INDIAN,LAB,111000355,Nov-25,3200001897,HYDROQUINONE (MICRONIZED) USP,500, SNA HEALTHCARE PVT LTD,19.25,1100,RMIMAT,D16,KG,USD,SNA HEALTHCARE PVT. LTD.,INDIA,NEON,SRIKEM LABORATORIES PVT. LTD.,27,500,"$9,625.00 ","$13,500.00 ","$3,875 "
PROJECT,LAB,111000059,Feb-26,3200002031,TYLOXAPOL USP/NF,1000, Gangwal Healthcare Pvt.,4.6,1100,RMLMAT,D16,G,USD,Gangwal Healthcare Pvt. Ltd.,INDIA,DAWN IMPEX,Ruger Chemical Company,10.42790363,1000,"$4,600.00 ","$10,427.90 ","$5,828 "
Single Origin,LAB,111000059,May-26,3200002155,TYLOXAPOL USP/NF,1000, Gangwal Healthcare Pvt.,4.6,1100,RMLMAT,R02,G,USD,Gangwal Healthcare Pvt. Ltd.,INDIA,DAWN IMPEX,Ruger Chemical Company,10.42790363,1000,"$4,600.00 ","$10,427.90 ","$5,828 "
MULTI SOURCE,LAB,111000256,Jul-25,3200001679,PERMETHRIN BP,6000, GLOBAL PHARMA,28.6,1100,RMIMAT,D16,KG,USD,AARIVA PHARMA PVT LTD,INDIA,SMART CHEM,SRIKEM LABORATORIES PVT. LTD.,29.75,6000,"$171,600.00 ","$178,500.00 ","$6,900 "
NON INDIAN,LAB,111000355,Apr-26,3200002121,HYDROQUINONE (MICRONIZED) USP,1000, SNA HEALTHCARE PVT LTD,20,1100,RMIMAT,D16,KG,USD,SNA HEALTHCARE PVT. LTD.,INDIA,NEON,SRIKEM LABORATORIES PVT. LTD.,27,1000,"$20,000.00 ","$27,000.00 ","$7,000 "
NON INDIAN,LAB,111000355,Feb-26,3200002022,HYDROQUINONE (MICRONIZED) USP,1000, SNA HEALTHCARE PVT LTD,19.25,1100,RMIMAT,D16,KG,USD,SNA HEALTHCARE PVT. LTD.,INDIA,NEON,SRIKEM LABORATORIES PVT. LTD.,27,1000,"$19,250.00 ","$27,000.00 ","$7,750 "
NON INDIAN,LAB,111000256,Jul-26,3200002234,PERMETHRIN BP,2000, RANS INTL 1 LIMITED,25.5,1100,RMIMAT,D16,KG,USD,AARIVA PHARMA PVT LTD,INDIA,SMART CHEM,SRIKEM LABORATORIES PVT. LTD.,29.75,2000,"$51,000.00 ","$59,500.00 ","$8,500 "
NON INDIAN,LAB,111000355,Jul-26,3200002238,HYDROQUINONE (MICRONIZED) USP,1000, RANS INTL 1 LIMITED,17.5,1100,RMIMAT,R02,KG,USD,SNA HEALTHCARE PVT. LTD.,INDIA,NEON,SRIKEM LABORATORIES PVT. LTD.,27,1000,"$17,500.00 ","$27,000.00 ","$9,500 "
NON INDIAN,LAB,111000282,Jan-26,3200001989,TERBINAFINE HYDROCHLORIDE BP,875, Syneregene Active Ingred,42.5,1100,RMIMAT,D16,KG,USD,Synergene Active Pharmaceutical Ingredients Pvt. Ltd.,BANGLADESH,IRIS INTERNATIONAL,shandong boyuan pharmaceutical co ltd.,55,875,"$37,187.50 ","$48,125.00 ","$10,938 "
MULTI SOURCE,AHL,114000132,May-26,3200002157,D-CHIROINOSITOL,120, HUNAN NUTRAMAX INC.,153,3100,RMIMAT,R02,KG,USD,Hunan Nutramax Inc,CHINA,NEON,HANGZHOU ZHONGBAO IMP & EXP Corp Ltd,253,120,"$18,360.00 ","$30,360.00 ","$12,000 "
MULTI SOURCE,LAB,111000355,Jul-26,3200002238,HYDROQUINONE (MICRONIZED) USP,1500, RANS INTL 1 LIMITED,17.5,1100,RMIMAT,R02,KG,USD,SNA HEALTHCARE PVT. LTD.,INDIA,NEON,SRIKEM LABORATORIES PVT. LTD.,27,1500,"$26,250.00 ","$40,500.00 ","$14,250 "
FLAVOUR/FRAGRANCE/EXTRACTS,AHL,111000355,Jul-26,3200002238,HYDROQUINONE (MICRONIZED) USP,1500, RANS INTL 1 LIMITED,17.5,1100,RMIMAT,R02,KG,USD,SNA HEALTHCARE PVT. LTD.,INDIA,NEON,SRIKEM LABORATORIES PVT. LTD.,27,1500,"$26,250.00 ","$40,500.00 ","$14,250 "
Single Origin,LAB,111000355,Jul-26,3200002238,HYDROQUINONE (MICRONIZED) USP,1500, RANS INTL 1 LIMITED,17.5,1100,RMIMAT,R02,KG,USD,SNA HEALTHCARE PVT. LTD.,INDIA,NEON,SRIKEM LABORATORIES PVT. LTD.,27,1500,"$26,250.00 ","$40,500.00 ","$14,250 "
MERCK/SIGMA/CRODA/FISHER,LAB,111000355,Jul-26,3200002238,HYDROQUINONE (MICRONIZED) USP,1500, RANS INTL 1 LIMITED,17.5,1100,RMIMAT,R02,KG,USD,SNA HEALTHCARE PVT. LTD.,INDIA,NEON,SRIKEM LABORATORIES PVT. LTD.,27,1500,"$26,250.00 ","$40,500.00 ","$14,250 "
Single Origin,LAB,111000024,Nov-25,3200001898,WHITE SOFT PARAFFIN BP,15225, TEXOL LUBRITECH FZC,1.46,1100,RMLMAT,D16,KG,USD,TEXOL LUBRITECH FZC,UAE,TEXOL,ROSE POLYMER IRAN.,2.481121899,15225,"$22,228.50 ","$37,775.08 ","$15,547 "
MERCK/SIGMA/CRODA/FISHER,LAB,111000256,Aug-26,3200002272,PERMETHRIN BP,4500, BLUEBELL INTERNATIONAL (,25.5,1100,RMIMAT,R02,KG,USD,AARIVA PHARMA PVT LTD,INDIA,SMART CHEM,SRIKEM LABORATORIES PVT. LTD.,29.75,4500,"$114,750.00 ","$133,875.00 ","$19,125 "
