Year,Material Code,Company,Material Name,Supplier Name,Manufacturer Name,PO Quantity,UOM,Net Price in USD,Historic Date,Latest Historic Net Price USD,Historic Supplier Name,Historic Manufacturer Name,Current Rate Total PO Value,Last Rate Total PO Value,Annual Net Saving in USD,% Age (Sav/Los),Mfg Status,Saving/Loss Impact
Aug-26,111000259,LAB,PRALIDOXIME CHLORIDE USP, AVERY CHEMICAL (NANTONG),"HUBEI TEYER PHARMACEUTICAL CO., LTD.",22,KG,460,16/12/2025 0:00,650, HEER PHARMA PVT LTD,REDSON PHARMACEUTICAL / REXIN LABORATORIES LTD,10120,14300,"$4,180 ",29.23076923,Diff Mfg,Positive
Aug-26,111000297,LAB,BACITRACIN BP, XELLIA PHARMACEUTICALS L,XELLIA PHARMACEUTICALS L,100,KG,500,03/03/2026 0:00,610, XELLIA PHARMACEUTICALS L,XELLIA PHARMACEUTICALS Co. LTD,50000,61000,"$11,000 ",18.03278689,Same Mfg,Positive
Aug-26,111000237,LAB,MISOPROSTOL DISPERSION (1% W/W) USP, PIRAMAL HEALTHCARE UK LT,PIRAMAL HEALTHCARE UK LT,20,KG,830,03/06/2026 0:00,1150, PIRAMAL HEALTHCARE UK LT,PIRAMAL HEALTHCARE UK LTD.,16600,23000,"$6,400 ",27.82608696,Same Mfg,Positive
Aug-26,111000002,LAB,MICROCRYSTALLINE CELLULOSE (PH 101) BP, RETTENMAIER NATURAL FIBE,RETTENMAIER NATURAL FIBE,400,KG,3.05,07/11/2025 0:00,2.8, RETTENMAIER NATURAL FIBE,JRS PHARMA,1220,1120,($100),-8.928571429,Diff Mfg,Negative
Aug-26,111000045,LAB,SODIUM STARCH GLYCOLATE (TYPE A) BP, YUNG ZIP CHEMICAL IND. C,YUNG ZIP CHEMICAL IND. C,100,KG,9,06/07/2025 0:00,5.8, YUNG ZIP CHEMICAL IND. C,YUNG ZIP CHEMICAL IND. CO LTD.,900,580,($320),-55.17241379,Same Mfg,Negative
Aug-26,111000103,LAB,LIDOCAINE BP, GUFIC BIOSCIENCES LTD,GUFIC BIOSCIENCES LTD,400,KG,19,09/04/2026 0:00,15, SHANDONG CHENGHUISHUANGD,Shandong Chenghui Shuangda Pharmaceutical Co,7600,6000,"($1,600)",-26.66666667,Diff Mfg,Negative
Aug-26,111000224,LAB,LEVOFLOXACIN HEMIHYDRATE USP, ZHEJIANG EAST-ASIA PHARM,ZHEJIANG EAST ASIA PHARMA CO LTD,75,KG,45,14/01/2026 0:00,35, ZHEJIANG EAST-ASIA PHARM,ZHEJIANG EAST ASIA PHARMA CO LTD,3375,2625,($750),-28.57142857,Same Mfg,Negative
Aug-26,111000270,LAB,SUMATRIPTAN SUCCINATE BP, Syneregene Active Ingred,SYNERGENE ACTIVE INGREDIENTS PVT LTD,24,KG,285,03/03/2026 0:00,279, Syneregene Active Ingred,SYNERGENE ACTIVE INGREDIENTS PVT LTD,6840,6696,($144),-2.150537634,Same Mfg,Negative
Aug-26,111000318,LAB,DORZOLAMIDE HYDROCHLORIDE USP, SHANGHAI ZUOMING IMP. &,CHEMVON BIOTECHNOLOGY,25,KG,1400,30/01/2026 0:00,1600, PRECISE BIOPHARMA PVT LT,Precise Biopharma Pvt Ltd.,35000,40000,"$5,000 ",12.5,Diff Mfg,Positive
Jul-26,111000053,LAB,PURIFIED TALC BP, RANS INTL 1 LIMITED,NITIKA PHARMACEUTICAL SPECIALITIES PVT. LTD.,1500,KG,2.6,03/04/2026 0:00,4, NITIKA PHARMACEUTICAL SP,NITIKA PHARMACEUTICAL SPECIALITIES PVT. LTD.,3900,6000,"$2,100 ",35,Same Mfg,Positive
Jul-26,111000354,LAB,GLYCERYL TRINITRATE(DILU. NITROGLYCERIN, RANS INTL 1 LIMITED,CHIN CHEM,5000,KG,15.5,03/06/2026 0:00,16.5, MEDIST FZE,CHIN CHEM,77500,82500,"$5,000 ",6.060606061,Same Mfg,Positive
Jul-26,111000215,LAB,MICROCRYSTALLINE CELLULOSE (PH 112) BP, HONGKONG EYERIS COMPANY,JRS PHARMA-Rettenmaier natural fiber (Changzhou),9000,KG,3.7,02/04/2026 0:00,4.15, RETTENMAIER NATURAL FIBE,JRS PHARMA-Rettenmaier natural fiber (Changzhou),33300,37350,"$4,050 ",10.84337349,Same Mfg,Positive
Jul-26,114000113,AHL,METHYL SALICYLATE, FORTUNE COMPANY LTD,JQC (HUAYIN) PHARMACEUTICAL CO LTD,1000,KG,3.8,21/01/2026 0:00,4.15, UNI SOURCE INDUSTRIES LI,JQC (HUAYIN) PHARMACEUTICAL CO LTD,3800,4150,$350 ,8.43373494,Same Mfg,Positive
Jul-26,114000111,AHL,MYO-INOSITOL, Shaanxi Jiahe Phytochem,Shaanxi Jiahe Phytochem,2000,KG,6.75,03/10/2025 0:00,3.2, HANGZHOU ZHONGBAO IMPORT,HANGZHOU ZHONGBAO IMP & EXP Corp Ltd,13500,6400,"($7,100)",-110.9375,Diff Mfg,Negative
Jul-26,114000073,AHL,SUCRALOSE, CHIFENG EYERIS COMPANY L,SHANDONG KANBO,300,KG,14.25,,,,,4275,,,,No Historic Data,No Past Record
Jul-26,114000155,AHL,TURMERIC EXTRACT (CURCUMA LONG 95%), AL-CHEMIS CORP,ORGANIC HERB INC,1,KG,96.00862999,,,,,96.00862999,,,,No Historic Data,No Past Record
